Species_ID,Image_ID,Specimen_ID,PC1_symm_mean,PC1_asym_mean,PC2_asym_mean,PC3_asym_mean,PC1_glob_mean,PC2_glob_mean,Length_mean,Width_mean,Length_to_width_ratio_mean,N_spores
parvisporum,KAS_L_0140_15_1x,KAS_L_0140,0.191574,0.02916336,-0.002647216,-0.01244702,0.1936383,0.01133955,5.31,2.16,2.46,1
parvisporum,KAS_L_0140_17_1x,KAS_L_0140,0.2916496333333333,0.04651767666666667,0.006607778,-0.008937735666666667,0.2950544666666667,0.015827735333333332,5.41,2.46,2.2033333333333336,3
parvisporum,KAS_L_0140_18_1x,KAS_L_0140,0.2683815,0.07767744,0.018807295,-0.003769471,0.27872830000000004,-0.0209581375,5.03,1.99,2.5300000000000002,2
parvisporum,KAS_L_0140_19_1x,KAS_L_0140,0.1384384,0.0625479,0.008180636,-0.00219093,0.1484593,-0.03250976,5.93,2.15,2.76,1
parvisporum,KAS_L_0140_20_2x,KAS_L_0140,0.27663326666666666,0.08117737333333333,0.015340058333333333,-0.011335408333333333,0.2876459,-0.021773621333333333,5.126666666666667,2.3066666666666666,2.24,3
parvisporum,KAS_L_0140_20_rev,KAS_L_0140,0.3028746,0.04392863,0.01009023,-0.006353017,0.3054933,0.02022893,5.69,2.98,1.91,1
parvisporum,KAS_L_0140_21_rev,KAS_L_0140,0.23372806666666668,0.05822087333333333,0.0032907336666666664,-0.009589447666666667,0.24084039999999998,-0.008470242566666666,5.4,2.243333333333333,2.41,3
parvisporum,KAS_L_0140_22_1x,KAS_L_0140,0.2540721,0.0634687,0.008538487,-0.0155202,0.2619032,-0.008506363,5.22,2.35,2.22,1
parvisporum,KAS_L_0140_22_rev,KAS_L_0140,0.2855437,0.07442607,0.01194574,-0.004986267,0.294837,-0.01391274,4.97,2.48,2,1
parvisporum,KAS_L_0140_23_rev,KAS_L_0140,0.2769274,0.08649501,0.01053303,-0.005622115,0.2889695,-0.02809246,5.19,2.37,2.19,1
harpagum,KAS_L_0244_01_1,KAS_L_0244,0.1534749,0.04537073,0.005130275,-0.006418196,0.1596607,-0.01214314,6.9,2.59,2.66,1
harpagum,KAS_L_0244_02_rev,KAS_L_0244,0.1450341,0.01566497,-0.001188887,-5.364421e-4,0.1451188,0.01459471,7.01,2.63,2.67,1
harpagum,KAS_L_0244_04_2xL,KAS_L_0244,0.18982155,0.02699474,0.006066841,-0.004933743000000001,0.1913791,0.013097145000000001,6.994999999999999,2.8200000000000003,2.48,2
harpagum,KAS_L_0244_04_rev,KAS_L_0244,0.1077675,0.04335935,-0.0132199,-0.01036767,0.1144942,-0.02042513,7.77,2.65,2.93,1
harpagum,KAS_L_0244_05_axT,KAS_L_0244,0.2116305,0.02144388,-0.001727232,-0.005950147,0.2114972,0.02298229,6.1,2.48,2.46,1
harpagum,KAS_L_0244_06_1,KAS_L_0244,0.1464109,0.01632742,0.005278881,-0.001169004,0.1466539,0.01414737,7.14,2.63,2.71,1
harpagum,KAS_L_0244_11_rev,KAS_L_0244,0.1797435,0.01637639,-0.002001363,-0.00569335,0.1792847,0.02095103,6.75,2.71,2.49,1
